Lần chạy 1...
Decode time: 0.0527526 seconds
Decode time: 0.128632 seconds
Decode time: 0.128242 seconds
Decode time: 0.161198 seconds
Decode time: 0.136449 seconds
Decode time: 0.0508574 seconds
Decode time: 0.0975645 seconds
Decode time: 0.207646 seconds
Decode time: 0.0475337 seconds
Decode time: 0.081779 seconds
Decode time: 0.12835 seconds
Decode time: 0.27397 seconds
Decode time: 0.0520213 seconds
Decode time: 0.0966445 seconds
Decode time: 0.0473231 seconds
Decode time: 0.0539591 seconds
Decode time: 0.129776 seconds
Decode time: 0.0539692 seconds
Decode time: 0.2203 seconds
Decode time: 0.0630078 seconds
Decode time: 0.125504 seconds
Decode time: 0.144994 seconds
Decode time: 0.13527 seconds
Decode time: 0.138562 seconds
Decode time: 0.148552 seconds
Decode time: 0.0623173 seconds
Decode time: 0.0828126 seconds
Decode time: 0.200342 seconds
Decode time: 0.146867 seconds
Decode time: 0.0863967 seconds
Decode time: 0.0497196 seconds
Decode time: 0.229745 seconds
Decode time: 0.127824 seconds
Decode time: 0.125309 seconds
Decode time: 0.210041 seconds
Decode time: 0.131947 seconds
Decode time: 0.05313 seconds
Decode time: 0.196509 seconds
Decode time: 0.13048 seconds
Decode time: 0.129891 seconds
Decode time: 0.124887 seconds
Decode time: 0.130009 seconds
Decode time: 0.094615 seconds
Decode time: 0.0602542 seconds
Decode time: 0.221511 seconds
Decode time: 0.12488 seconds
Decode time: 0.165955 seconds
Decode time: 0.0624565 seconds
Decode time: 0.141003 seconds
Decode time: 0.0585239 seconds
Decode time: 0.150486 seconds
Decode time: 0.0570416 seconds
Decode time: 0.0986915 seconds
